word,translation,explanation
호텔,ホテル,"「호텔」は英語 ""hotel"" からの外来語。"
방값,部屋代,「방（部屋）」＋「값（値段）」で「部屋代」を意味する。
예약,予約,「예약」は漢字語「予約」に由来する。
계산,計算 / 会計,「계산」は漢字語「計算」に由来し、レストランでは「会計」の意味でも使われる。
영수증,領収書,「영수증」は漢字語「領収証」に由来し、「レシート」を意味する。
값,値段,「값」は固有語で「値段」を意味する。
현금,現金,「현금」は漢字語「現金」に由来する。
카드,カード,"「카드」は英語 ""card"" からの外来語。"
거스름돈,お釣り,「거스름돈」は固有語の複合語で「お釣り」を意味する。
서비스,サービス,"「서비스」は英語 ""service"" からの外来語。"
친절하다,親切だ,漢字語「친절（親切）」＋「하다」。
불친절하다,不親切だ,「불-（不）」が付いた否定形で「不親切だ」を意味する。
걱정,心配,「걱정」は「걱정하다」の名詞形で「心配」を意味する。
행복,幸せ,「행복」は漢字語「幸福」に由来し、「행복하다」の名詞形。
슬픔,悲しみ,「슬프다（悲しい）」に「-음」が付いた名詞形で「悲しみ」を意味する。
화,怒り,「화」は漢字語「火」に由来し、「화나다（腹が立つ）」の語根として使われる。
기쁨,喜び,「기쁘다（嬉しい）」に「-음」が付いた名詞形で「喜び」を意味する。
눈물,涙,「눈（目）」＋「물（水）」で「涙」を意味する。
소리,音,「소리」は固有語で「音」を意味する。
냄새,匂い,「냄새」は固有語で「匂い」を意味する。
맛,味,「맛」は固有語で「味」を意味し、「맛있다（おいしい）」の語根になっている。
모습,姿,「모습」は固有語で「姿・様子」を意味する。
이야기,話,「이야기하다」の語根となる名詞で「話・物語」を意味する。
소식,知らせ,「소식」は漢字語「消息」に由来し、「知らせ」を意味する。
사실,事実,「사실」は漢字語「事実」に由来し、「사실은（実は）」の形でもよく使われる。
의견,意見,「의견」は漢字語「意見」に由来する。
이유,理由,「이유」は漢字語「理由」に由来する。
방법,方法,「방법」は漢字語「方法」に由来する。
목표,目標,「목표」は漢字語「目標」に由来する。
결과,結果,「결과」は漢字語「結果」に由来する。
실수,失敗,「실수」は漢字語「失手」に由来し、「失敗・ミス」を意味する。
성공,成功,「성공」は漢字語「成功」に由来する。
경험,経験,「경험」は漢字語「経験」に由来する。
능력,能力,「능력」は漢字語「能力」に由来する。
최고,最高,「최고」は漢字語「最高」に由来する。
최선,最善,「최선」は漢字語「最善」に由来する。
최악,最悪,「최악」は漢字語「最悪」に由来する。
다음에,次に,「다음（次）」＋助詞「에」で「次に」を意味する。
먼저,まず,「먼저」は固有語の副詞で「まず・先に」を意味する。
그때,その時,「그（その）」＋「때（時）」で「その時」を意味する。
전혀,全然,「전혀」は漢字語「全然」に由来し、否定表現とともに「全く（〜ない）」を意味する。
아무도,誰も,「아무（誰でも）」＋「도（〜も）」で、否定形とともに「誰も（〜ない）」を意味する。
무엇,何,「무엇」は固有語の疑問詞で「何」を意味し、口語では「뭐」と略される。
누구,誰,「누구」は固有語の疑問詞で「誰」を意味する。
얼마,いくら,「얼마」は固有語の疑問詞で「いくら」を意味する。
거기,そこ,「거기」は固有語の指示詞で、聞き手に近い「そこ」を意味する。
저,あの / 私 (謙譲),連体詞としては「あの（遠称）」、代名詞としては「私」のへりくだった言い方。
저희,私たち (謙譲),「우리（私たち）」のへりくだった言い方で、目上の人に対して使う。
께서,〜が (尊敬),「이/가」の尊敬形で、目上の人を主語にするときに使う（例：선생님께서）。
께,〜に (尊敬),「에게」の尊敬形で、目上の人が対象のときに使う。
께서는,〜は (尊敬),「께서」に「는（は）」が付いた形。
한테서,〜から (人・動物),人や動物を表す出所（〜から）を示す口語的な助詞で、「로부터」の口語形。
로부터,〜から (書き言葉),出所（〜から）を表すよりフォーマルな書き言葉の助詞。
에,〜に / 〜へ,場所・時間・方向を幅広く表す助詞。
에서,〜で / 〜から,動作が行われる場所（〜で）や、移動の起点（〜から）を表す助詞。
도,〜も,「도」は「〜も」を意味する助詞で、은/는や이/가の代わりに使われる。
은,〜は (パッチムあり),パッチムのある名詞に付くトピック（主題）を表す助詞「〜は」。
는,〜は (パッチムなし),パッチムのない名詞に付くトピックを表す助詞「〜は」。
이,〜が (パッチムあり),パッチムのある名詞に付く主格助詞「〜が」。
가,〜が (パッチムなし),パッチムのない名詞に付く主格助詞「〜が」。
을,〜を (パッチムあり),パッチムのある名詞に付く目的格助詞「〜を」。
를,〜を (パッチムなし),パッチムのない名詞に付く目的格助詞「〜を」。
의,〜の,所有を表す助詞「〜の」で、話し言葉では[에]と発音されることが多い。
이다,〜だ,名詞に直接付く指定詞「〜だ」（例：학생이다 学生だ）。
나쁘다,悪い,으不規則（나빠요）で「悪い」を意味し、「좋다」の対義語。
힘들다,大変だ,「힘（力）」＋「들다（要る）」からなり、ㄹ語幹用言で「大変だ・つらい」を意味する。
편하다,楽だ,漢字語「편（便）」＋「하다」で「楽だ・便利だ」を意味する。
배고프다,お腹が空く,「배（お腹）」＋「고프다（空いている、으不規則：고파요）」からなる。
목마르다,喉が渇く,「목（喉）」＋「마르다（渇く、르不規則：말라요）」からなる。
젊다,若い,固有語の形容詞で「（大人として）若い」を意味し、幼い子供に使う「어리다」とは区別される。
늙다,年を取る,固有語の動詞・形容詞で「年を取る」を意味する。
뚱뚱하다,太っている,固有語の形容詞で「太っている」を意味する。
날씬하다,スリムだ,固有語の形容詞で「スリムだ」を意味し、「뚱뚱하다」の対義語。
똑똑하다,頭がいい,固有語の形容詞で「頭がいい・賢い」を意味する。
바보같다,馬鹿みたいだ,「바보（馬鹿）」＋「같다（〜のようだ）」で「馬鹿みたいだ」を意味する。
무섭다,怖い,ㅂ不規則（무서워요）で「怖い」を意味する。
지루하다,退屈だ,固有語の形容詞で「退屈だ」を意味する。
밝다,明るい,固有語の形容詞で「明るい」を意味し、「어둡다」の対義語。
어둡다,暗い,ㅂ不規則（어두워요）で「暗い」を意味する。
뜨겁다,熱い,ㅂ不規則（뜨거워요）で、物や液体が「熱い」ことを表す（気温には덥다を使う）。
차갑다,冷たい,ㅂ不規則（차가워요）で、物が「冷たい」ことを表し「뜨겁다」の対義語。
시원하다,涼しい,固有語の形容詞で「涼しい・すっきりしている」を意味し、冷たい飲み物などにもポジティブに使われる。
딱딱하다,硬い,固有語の形容詞で「硬い」を意味する。
부드럽다,柔らかい,ㅂ不規則（부드러워요）で「柔らかい」を意味し、「딱딱하다」の対義語。
괜찮다,大丈夫だ,固有語の形容詞で「大丈夫だ」を意味し、勧めを丁寧に断るときにもよく使われる。
다르다,違う,르不規則（달라요）で「違う」を意味し、「間違っている」を意味する「틀리다」と混同されやすい別の単語。
비슷하다,似ている,固有語由来の形容詞で「似ている」を意味する。
진짜,本当に (口語),「진짜」は口語的な「本当に・マジで」を意味し、「정말」のくだけた言い方。
가짜,偽物,「가짜」は「偽物」を意味し、「진짜」の対義語。
이상하다,変だ,漢字語「이상（異常）」＋「하다」で「変だ」を意味する。
당연하다,当然だ,漢字語「당연（当然）」＋「하다」で「当然だ」を意味する。
가능하다,可能だ,漢字語「가능（可能）」＋「하다」。
불가능하다,不可能だ,「불-（不）」が付いた否定形で「不可能だ」を意味する。
애매하다,曖昧だ,漢字語「애매（曖昧）」＋「하다」で「曖昧だ」を意味する。
전체,全体,「전체」は漢字語「全体」に由来する。
부분,部分,「부분」は漢字語「部分」に由来する。
절반,半分,「절반」は漢字語「折半」に由来し、「半分」を意味する。
최저,最低,「최저」は漢字語「最低」に由来する。
최초,最初,「최초」は漢字語「最初」に由来する。
다음,次,「다음」は「次」を意味する。
이전,以前,「이전」は漢字語「以前」に由来する。
이후,以後,「이후」は漢字語「以後」に由来する。
언제나,いつも,「언제（いつ）」＋「나（〜でも）」で「いつも」を意味する。
드물게,稀に,「드물다（稀だ）」の副詞形で「稀に」を意味する。
평소,普段,「평소」は漢字語「平素」に由来し、「普段」を意味する。
나중에,後で,固有語の複合表現で「後で」を意味する。
미리,前もって,固有語の副詞で「あらかじめ・前もって」を意味する。
이제,もう / 今や,固有語の副詞で「今や・もう」を意味する。
벌써,もう / すでに,固有語の副詞で「もう・すでに」を意味する。
아직,まだ,固有語の副詞で「まだ」を意味し、否定形と共に「まだ〜ない」を表すことが多い。
점점,だんだん,漢字語由来の畳語副詞で「だんだん」を意味する。
느낌,感じ,動詞「느끼다（感じる）」の名詞形で「感じ」を意味する。
생각,考え,固有語で「考え」を意味し、「생각하다」の名詞形。
마음,心,固有語で「心」を意味する。
꿈,夢,固有語で「夢」を意味する。
경우,場合,漢字語「경우（境遇）」に由来し、「場合」を意味する。
상황,状況,「상황」は漢字語「状況」に由来する。
관계,関係,「관계」は漢字語「関係」に由来する。
해결,解決,「해결」は漢字語「解決」に由来する。
약속,約束,「약속」は漢字語「約束」に由来する。
노력,努力,「노력」は漢字語「努力」に由来する。
지식,知識,「지식」は漢字語「知識」に由来する。
정보,情報,「정보」は漢字語「情報」に由来する。
뉴스,ニュース,"「뉴스」は英語 ""news"" からの外来語。"
책,本,「책」は漢字語「冊」に由来し、「本」を意味する。
글,文 / 字,「글」は固有語で「文章・文字」を意味する。
편지,手紙,「편지」は漢字語「便紙」に由来し、「手紙」を意味する。
메일,メール,"「메일」は英語 ""mail"" からの外来語で「（電子）メール」を指す。"
카메라,カメラ,"「카메라」は英語 ""camera"" からの外来語。"
영화,映画,「영화」は漢字語「映画」に由来する。
드라마,ドラマ,"「드라마」は英語 ""drama"" からの外来語。"
음악,音楽,「음악」は漢字語「音楽」に由来する。
미술,美術,「미술」は漢字語「美術」に由来する。
체육,体育,「체육」は漢字語「体育」に由来する。
건강,健康,「건강」は漢字語「健康」に由来し、「건강하다」の名詞形。
약,薬,「약」は漢字語「薬」に由来する。
치료,治療,「치료」は漢字語「治療」に由来する。
수술,手術,「수술」は漢字語「手術」に由来する。
사고,事故,「사고」は漢字語「事故」に由来する。
위험,危険,「위험」は漢字語「危険」に由来する。
안전,安全,「안전」は漢字語「安全」に由来する。
도움,助け,動詞「돕다（助ける）」の名詞形で「助け」を意味する。
기회,機会,「기회」は漢字語「機会」に由来する。
변화,変化,「변화」は漢字語「変化」に由来する。
발전,発展,「발전」は漢字語「発展」に由来する。
가격,価格,「가격」は漢字語「価格」に由来し、「값」よりフォーマルな言い方。
소비,消費,「소비」は漢字語「消費」に由来する。
생산,生産,「생산」は漢字語「生産」に由来する。
무역,貿易,「무역」は漢字語「貿易」に由来する。
국가,国家,「국가」は漢字語「国家」に由来する。
환경,環境,「환경」は漢字語「環境」に由来する。
자연,自然,「자연」は漢字語「自然」に由来する。
공기,空気,「공기」は漢字語「空気」に由来する。
쓰레기,ごみ,「쓰레기」は固有語で「ごみ」を意味する。
생활,生活,「생활」は漢字語「生活」に由来する。
습관,習慣,「습관」は漢字語「習慣」に由来する。
규칙,規則,「규칙」は漢字語「規則」に由来する。
자유,自由,「자유」は漢字語「自由」に由来する。
평화,平和,「평화」は漢字語「平和」に由来する。
전쟁,戦争,「전쟁」は漢字語「戦争」に由来する。
현실,現実,「현실」は漢字語「現実」に由来する。
이상,理想,「이상」は漢字語「理想」に由来する。
진실,真実,「진실」は漢字語「真実」に由来する。
거짓,嘘,「거짓」は固有語で「嘘・偽り」を意味する。
믿음,信頼,動詞「믿다（信じる）」の名詞形で「信頼」を意味する。
사랑,愛,「사랑하다」の語根となる名詞で「愛」を意味する。
우정,友情,「우정」は漢字語「友情」に由来する。
희망,希望,「희망」は漢字語「希望」に由来する。
절망,絶望,「절망」は漢字語「絶望」に由来する。
포기,諦め,「포기」は漢字語「抛棄」に由来し、「諦め」を意味する。
도전,挑戦,「도전」は漢字語「挑戦」に由来する。
성장,成長,「성장」は漢字語「成長」に由来する。
재능,才能,「재능」は漢字語「才能」に由来する。
경쟁,競争,「경쟁」は漢字語「競争」に由来する。
협력,協力,「협력」は漢字語「協力」に由来する。
인정,認定 / 認める,「인정」は漢字語「認定」に由来し、動詞形「인정하다（認める）」でも使われる。
존경,尊敬,「존경」は漢字語「尊敬」に由来する。
비난,非難,「비난」は漢字語「非難」に由来する。
칭찬,褒め言葉,「칭찬」は漢字語「称賛」に由来し、「褒め言葉」を意味する。
하나,一つ,固有数詞「一つ」で、物を数えるときに使う（漢字数詞の「일」とは別系統）。
둘,二つ,固有数詞「二つ」。
셋,三つ,固有数詞「三つ」。
넷,四つ,固有数詞「四つ」。
다섯,五つ,固有数詞「五つ」。
여섯,六つ,固有数詞「六つ」。
일곱,七つ,固有数詞「七つ」。
여덟,八つ,固有数詞「八つ」で、発音は[여덜]。
아홉,九つ,固有数詞「九つ」。
열,十,固有数詞「十」。
김치,キムチ,韓国を代表する発酵野菜料理「キムチ」。
불고기,プルコギ,「불（火）」＋「고기（肉）」からなる、味付けした牛肉の焼き料理。
라면,ラーメン,日本語の「ラーメン」に由来する借用語で、韓国ではインスタント麺を指す。
빵,パン,ポルトガル語 pão が日本語を経て伝わった借用語で「パン」を意味する。
국,スープ,固有語で「スープ」を意味する。
찌개,チゲ,固有語で、韓国式の濃い鍋料理を指す。
비빔밥,ビビンバ,「비비다（混ぜる）」＋「밥（ご飯）」からなる混ぜご飯料理。
삼겹살,サムギョプサル,直訳すると「三層の肉」で、豚バラ肉を指す。
떡,お餅,固有語で韓国式の「お餅」を意味する。
과일,果物,固有語で「果物」を意味する。
사과,リンゴ,漢字語「沙果」に由来し、「リンゴ」を意味する。
바나나,バナナ,"英語 ""banana"" からの外来語。"
포도,ぶどう,漢字語「葡萄」に由来し、「ぶどう」を意味する。
수박,スイカ,固有語で「スイカ」を意味する。
딸기,いちご,固有語で「いちご」を意味する。
채소,野菜,漢字語「菜蔬」に由来し、「野菜」を意味する。
당근,ニンジン,固有語で「ニンジン」を意味する。
양파,タマネギ,「양（洋）」＋「파（ネギ）」からなり、「タマネギ」を意味する。
마늘,ニンニク,固有語で「ニンニク」を意味する。
고기,肉,固有語で「肉」を意味する。
돼지고기,豚肉,「돼지（豚）」＋「고기（肉）」で「豚肉」を意味する。
소고기,牛肉,「소（牛）」＋「고기」で「牛肉」を意味する。
닭고기,鶏肉,「닭（鶏）」＋「고기」で「鶏肉」を意味する。
생선,魚,漢字語「生鮮」に由来し、食材としての「魚」を指す（生きた魚は「물고기」）。
계란,卵,漢字語「鶏卵」に由来し、固有語の「달걀」と同義。
치즈,チーズ,"英語 ""cheese"" からの外来語。"
우유,牛乳,漢字語「牛乳」に由来する。
주스,ジュース,"英語 ""juice"" からの外来語。"
어깨,肩,固有語で「肩」を意味する。
무릎,膝,固有語で「膝」を意味する。
팔꿈치,肘,固有語で「肘」を意味する。
손목,手首,「손（手）」＋「목（首・関節）」で「手首」を意味する。
발목,足首,「발（足）」＋「목」で「足首」を意味する。
등,背中,固有語で「背中」を意味する。
허리,腰,固有語で「腰」を意味する。
목,首,固有語で「首」を意味し、「喉」の意味でも使われる。
이마,額,固有語で「額」を意味する。
볼,頬,固有語で「頬」を意味する。
턱,あご,固有語で「あご」を意味する。
입술,唇,「입（口）」に由来する複合語で「唇」を意味する。
손가락,指,「손（手）」＋「가락（細長いもの）」で「指」を意味する。
발가락,足の指,「발（足）」＋「가락」で「足の指」を意味する。
심장,心臓,「심장」は漢字語「心臓」に由来する。
수학,数学,「수학」は漢字語「数学」に由来する。
영어,英語,「영어」は漢字語「英語」に由来する。
과학,科学,「과학」は漢字語「科学」に由来する。
국어,国語,「국어」は漢字語「国語」に由来し、学校教科としての「韓国語」を指す。
숙제,宿題,「숙제」は漢字語「宿題」に由来する。
시험,試験,「시험」は漢字語「試験」に由来する。
성적,成績,「성적」は漢字語「成績」に由来する。
교실,教室,「교실」は漢字語「教室」に由来する。
칠판,黒板,「칠판」は漢字語「漆板」に由来し、「黒板」を意味する。
연필,鉛筆,「연필」は漢字語「鉛筆」に由来する。
지우개,消しゴム,動詞「지우다（消す）」に由来する固有語で「消しゴム」を意味する。
노트,ノート,"「노트」は英語 ""note(book)"" からの外来語。"
수업,授業,「수업」は漢字語「授業」に由来する。
졸업하다,卒業する,漢字語「졸업（卒業）」＋「하다」。
입학하다,入学する,漢字語「입학（入学）」＋「하다」。
비,雨,固有語で「雨」を意味する。
구름,雲,固有語で「雲」を意味する。
안개,霧,固有語で「霧」を意味する。
태풍,台風,「태풍」は漢字語「台風」に由来する。
번개,稲妻,固有語で「稲妻」を意味する。
천둥,雷,固有語で「雷」を意味する。
무지개,虹,固有語で「虹」を意味する。
맑다,晴れている,固有語の形容詞で天気が「晴れている」ことや水などが「澄んでいる」ことを表す。
흐리다,曇っている,固有語の形容詞で「曇っている」ことを表し、「맑다」の対義語。
봄,春,固有語で「春」を意味する。
여름,夏,固有語で「夏」を意味する。
가을,秋,固有語で「秋」を意味する。
겨울,冬,固有語で「冬」を意味する。
계절,季節,「계절」は漢字語「季節」に由来する。
하늘,空,固有語で「空」を意味する。
산,山,「산」は漢字語「山」に由来する。
강,川,「강」は漢字語「江」に由来し、「川」を意味する。
바다,海,固有語で「海」を意味する。
호수,湖,「호수」は漢字語「湖水」に由来する。
숲,森,固有語で「森」を意味する。
꽃,花,固有語で「花」を意味する。
나무,木,固有語で「木」を意味する。
별,星,固有語で「星」を意味する。
인터넷,インターネット,"英語 ""internet"" からの外来語。"
스마트폰,スマートフォン,"英語 ""smartphone"" からの外来語。"
앱,アプリ,"英語 ""app"" からの外来語。"
문자,テキストメッセージ,漢字語「文字」に由来し、口語では「テキストメッセージ」の意味でも使われる。
SNS,SNS,英語の頭字語がそのまま使われている。
검색하다,検索する,漢字語「검색（検索）」＋「하다」。
다운로드,ダウンロード,"英語 ""download"" からの外来語。"
비밀번호,パスワード,漢字語「비밀（秘密）」＋「번호（番号）」で「パスワード」を意味する。
와이파이,Wi-Fi,"英語 ""Wi-Fi"" からの外来語。"
충전하다,充電する,漢字語「충전（充電）」＋「하다」。
배터리,バッテリー,"英語 ""battery"" からの外来語。"
화면,画面,「화면」は漢字語「画面」に由来する。
분홍,ピンク,「분홍」は漢字語「粉紅」に由来し、「ピンク」を意味する。
주황,オレンジ色,「주황」は漢字語「朱黄」に由来し、「オレンジ色」を意味する。
보라,紫,固有語で「紫」を意味する。
녹색,緑色,「녹색」は漢字語「緑色」に由来する。
갈색,茶色,「갈색」は漢字語「褐色」に由来する。
회색,グレー,「회색」は漢字語「灰色」に由来し、「グレー」を意味する。
금색,金色,「금색」は漢字語「金色」に由来する。
은색,銀色,「은색」は漢字語「銀色」に由来する。
씻다,洗う,固有語の動詞で体を「洗う」ことを表し、服を洗う「빨다」とは区別される。
요리하다,料理する,漢字語「요리（料理）」＋「하다」。
청소하다,掃除する,漢字語「청소（清掃）」＋「하다」。
빌리다,借りる,固有語の動詞で「借りる」を意味する。
돌아오다,帰ってくる,「돌다（回る）」＋「오다（来る）」で「帰ってくる」を意味する。
보내다,送る,固有語の動詞で「送る」を意味する。
가져오다,持ってくる,「가지다（持つ）」＋「오다」で「持ってくる」を意味する。
켜다,つける,固有語の動詞で機器や明かりを「つける」ことを意味する。
끄다,消す,으不規則（꺼요）で「（機器や明かりを）消す」ことを意味し、「켜다」の対義語。
고치다,直す,固有語の動詞で「直す・修理する」を意味する。
버리다,捨てる,固有語の動詞で「捨てる」を意味する。
모으다,集める,으不規則（모아요）で「集める」を意味する。
설명하다,説明する,漢字語「설명（説明）」＋「하다」。
확인하다,確認する,漢字語「확인（確認）」＋「하다」。
연습하다,練習する,漢字語「연습（練習）」＋「하다」。
